一,m
丁,mn
丂,mvs
七,ju
丄,lm
丅,ml/xml
丆,mh/xmh
万,ms
丈,jk
三,mmm
上,ym
下,my
丌,ml
不,mf
与,ysm
丏,mlvs
丐,myvs
丑,ng
丒,skm
专,qni
且,bm
丕,mfm
世,pt
丗,tj/xtj
丘,om
丙,mob
业,tc/xtc
丛,oom
东,kd
丝,vvm
丞,nem/xnem
丟,mgi/xxmgi
丠,lpm
両,mub
丢,hgi
丣,mlls
两,moob
严,mtch
並,ttc
丧,gcv
丨,l/xl
丩,vl/xxvl
个,ol
丫,cl
丬,lim/xlim
中,l
丮,nq
丯,qj/xqj
丰,qj
丱,vlllm
串,ll
丳,llww
临,lloa
丵,tctj
丶,i/xxi
丷,ih/xih
丸,kni
丹,by
为,iksi
主,yg
丼,tti
丽,mbib/mmbib
举,fcq
丿,h/xh
乀,mo/xmo
乁,mo/xxmo
乂,k/xk
乃,nhs
乄,ku/xxku
久,no/xno
乆,vo
乇,hp
么,hi
义,ik/xik
乊,hc
之,ino
乌,pvsm
乍,os
乎,hfd
乏,hino
乐,hvd
乑,ohho
乒,omh
乓,omi
乔,hkll
乕,hqb
乖,hjlp
乗,hdt
乘,hdlp
乙,nu
乚,lu/xlu
乛,mh/xxmh
乜,pn/ps/xpn
九,kn
乞,on
也,pd
习,sim
乡,vvh
乢,uu/xxxuu
乣,viu
乤,myn
乥,hcn
书,ids
乧,yjn
乨,iru
乩,xyru/yru
乪,nw
乫,krn
乬,ssn
乭,mrn
乮,hln
乯,hfdn
买,nyk
乱,hru
乲,ion
乳,bdu
乴,qln
乵,yju
乶,ibn
乷,ehn
乸,pdwyi
乹,jju/xjju
乺,hln/xhln
乻,yyn
乼,egn
乽,jan
乾,jjon
乿,bfu
亀,nwlu
亁,jjon/xjjon
亂,bbu
亃,fqu
亄,gtu
亅,li
了,nn
亇,nn/on/xnn/xxon
予,ninn
争,nsd
亊,jfln
事,jlln
二,mm
亍,mmn/xmmn
于,md
亏,mmvs/xmmvs
亐,mjs
云,mmi
互,mvnm
亓,mml
五,mdm
井,tt
亖,mmmm
亗,umm
亘,mam
亙,mbm
亚,mtc
些,ypmm
亜,mllm/xmllm
亝,iiim/xiiim
亞,mllm
亟,mem/nem
亠,im/xim
亡,yv
亢,yhn
亣,yll
交,yck
亥,yvho
亦,ylnc
产,yth
亨,yrnn
亩,yw
亪,ycmo
享,yrnd
京,yrf
亭,xyrbn/yrbn
亮,yrbn/yrbu
亯,yra
亰,yaf
亱,yoam
亲,ytd
亳,yrbp
亴,xxyrb/yrbn
亵,yqiv
亶,ywrm
亷,yhxc
亸,ydcwj
亹,yhbm
人,o
亻,hl
亼,om/xxxom
亽,oi/xxoi
亾,vo/xvo
亿,on/xon
什,oj
仁,omm
仂,oks
仃,omn
仄,mo
仅,oe
仆,oy
仇,okn
仈,oc
仉,ohn
今,oin
介,oll
仌,oo/xoo
仍,onhs
从,oo
仏,oi/xoi
仐,oj/xxoj
仑,op/xop
仒,oy/xoy
仓,osu
仔,ond
仕,og
他,opd
仗,ojk
付,odi
仙,ou
仚,ou/xou
仛,ohp
仜,om/xxom
仝,om/xom
仞,oshi
仟,ohj
仠,omj
仡,oon
仢,opi
代,oip
令,oini
以,vio
仦,of/xxxof
仧,ymo
仨,ommm
仩,oym
仪,oik/xoik
仫,ohi
们,olis
仭,osk/xxosk
仮,ohe
仯,ofh
仰,ohvl
仱,ooin
仲,ol/xol
仳,opp
仴,ob/xxob
仵,ooj
件,ohq
价,ooll
仸,ohk
仹,oqj
仺,osm
任,ohg
仼,omg/xomg
份,ocsh
仾,omvm/xomvm
仿,oyhs
伀,oci
企,oylm
伂,ojb
伃,onin/xonin
伄,onl/xonl
伅,opu/xopu
伆,ophh
伇,ohne
伈,op/xxop
伉,oyhn
伊,osk
伋,onhe
伌,omsu
伍,omdm
伎,oje
伏,oik
伐,oi
休,od
伒,ohml
伓,omf
伔,obhn/obhu
伕,oqo
伖,oke
众,ooo
优,oiku
伙,of
会,ommi
伛,osk/xosk
伜,oknj
伝,ommi/xommi
伞,ofj
伟,oqs
传,oqni
伡,okq
伢,omvh
伣,obhu/xobhu
伤,ooks
伥,opo
伦,oop
伧,oosu
伨,opim/opmm
伩,oyk
伪,oiks
伫,ojm
